dtime,lat,lng,pm10,pm2_5,temp,hum
2/27/2022 12:16,28.25304033,83.9757,23.1,9.2,21.7,45.5
2/27/2022 12:16,28.2530715,83.97571933,21.9,9.2,21.8,45.3
2/27/2022 12:16,28.25310767,83.97574183,22.1,9.1,22.1,44.9
2/27/2022 12:16,28.25312783,83.97575533,22.3,9.2,22.2,44.7
2/27/2022 12:16,28.253143,83.97576833,22.7,9.1,22.3,44.6
2/27/2022 12:16,28.25315867,83.97578233,22,9.1,22.3,44.4
2/27/2022 12:16,28.25318183,83.97580017,21.1,9.1,22.3,44.3
2/27/2022 12:16,28.25320233,83.975804,20.9,9.2,22.4,44.3
2/27/2022 12:16,28.253233,83.97581383,20.2,8.8,22.4,44.3
2/27/2022 12:16,28.25325533,83.975822,19.2,8.8,22.7,44.9
2/27/2022 12:16,28.25327217,83.9758225,18.7,9.1,22.9,45.2
2/27/2022 12:16,28.25329733,83.975827,18.5,8.9,23,45.3
2/27/2022 12:17,28.25331383,83.97582317,20.3,9.1,23.2,45.1
2/27/2022 12:17,28.25334067,83.97582983,26.2,9.6,23.2,44.8
2/27/2022 12:17,28.2533615,83.97582917,27.3,9.8,23.3,44.9
2/27/2022 12:17,28.253385,83.97583217,26.8,9.8,23.5,45.1
2/27/2022 12:17,28.25341017,83.97583767,26.5,9.9,23.6,44.8
2/27/2022 12:17,28.253443,83.97584183,36.9,10.4,23.9,44.4
2/27/2022 12:17,28.2534655,83.975841,38.5,10.5,24,44.3
2/27/2022 12:17,28.253487,83.9758425,40.2,10.6,24.2,45.2
2/27/2022 12:17,28.2535255,83.975854,42.1,10.8,24.2,45.2
2/27/2022 12:17,28.25355817,83.97585167,43,10.8,24.4,44.2
2/27/2022 12:17,28.25358117,83.9758495,43.2,11,24.5,43.8
2/27/2022 12:17,28.25361783,83.97584317,42.6,10.8,24.5,43.8
2/27/2022 12:17,28.25364167,83.97584083,42,10.7,24.5,42.3
2/27/2022 12:17,28.25367567,83.9758415,38,10.6,24.4,41.5
2/27/2022 12:17,28.2536985,83.97584317,35.4,10.3,24.5,40.9
2/27/2022 12:17,28.25373267,83.97584567,34.8,10.1,24.5,40.9
2/27/2022 12:17,28.25375483,83.975851,35.1,10.1,24.4,39.9
2/27/2022 12:17,28.25377817,83.97585433,30.3,9.8,24.4,39.9
2/27/2022 12:17,28.25380083,83.97585517,24.8,9.5,24.3,39.9
2/27/2022 12:17,28.25382267,83.97585983,20.7,9.3,24.2,40.1
2/27/2022 12:17,28.2538525,83.97586667,20.7,9.2,24.1,41.4
2/27/2022 12:17,28.25388283,83.97587567,21,9.2,24.1,41.4
2/27/2022 12:17,28.25390233,83.97587933,20.3,8.9,24,42
2/27/2022 12:17,28.25392283,83.97588017,19.8,8.8,24,41.9
2/27/2022 12:17,28.25394283,83.97588117,20.6,8.8,24.2,41.9
2/27/2022 12:17,28.25396167,83.97588517,21.8,9.1,24.2,41.8
2/27/2022 12:18,28.253998,83.975886,21.2,8.7,24.2,41.8
2/27/2022 12:18,28.254012,83.975883,20.5,8.7,24.2,40.9
2/27/2022 12:18,28.2540155,83.975872,22.2,11,24.2,40.4
2/27/2022 12:18,28.25401717,83.9758635,21.7,11,24.3,39.9
2/27/2022 12:18,28.25401783,83.97586233,22.1,10.8,24.4,39.5
2/27/2022 12:18,28.25401833,83.97586183,22.5,10.6,24.4,38.5
2/27/2022 12:18,28.25401883,83.975861,22.6,10.5,24.5,38
2/27/2022 12:18,28.2540205,83.97585933,21.9,10.2,24.4,37.7
2/27/2022 12:18,28.25403083,83.97585233,22.5,10.2,24.4,37.6
2/27/2022 12:18,28.2540475,83.97585367,21.2,10.1,24.6,37.6
2/27/2022 12:18,28.25407767,83.97584867,22.5,10,24.6,37.6
2/27/2022 12:18,28.25410533,83.975849,21.5,9.7,24.8,37.1
2/27/2022 12:18,28.25411117,83.9758525,20.8,9.6,25,37
2/27/2022 12:18,28.25412217,83.975858,20.1,9.6,25,37
2/27/2022 12:18,28.25412767,83.97586117,20.7,9.6,25.2,36.9
2/27/2022 12:18,28.25413133,83.97586467,19.4,7.2,25,36.6
2/27/2022 12:18,28.25413833,83.975869,22.5,7.4,25.2,36.6
2/27/2022 12:18,28.25415383,83.97587,21.2,7.8,25.2,36.6
2/27/2022 12:18,28.254168,83.975863,21.4,7.8,25.2,36.4
2/27/2022 12:18,28.254184,83.975863,20.8,7.9,25.2,36.4
2/27/2022 12:18,28.25419883,83.9758745,20.9,8.1,25.2,36.4
2/27/2022 12:18,28.25423483,83.97586767,21.3,8.1,25.2,36.4
2/27/2022 12:19,28.25427,83.975856,23,8.6,25.2,36.4
2/27/2022 12:19,28.25431133,83.97586417,22.5,8.6,25.2,36.4
2/27/2022 12:19,28.25433233,83.9758685,19.7,8.4,25.3,36.1
2/27/2022 12:19,28.25434483,83.97587,19.4,8.4,25.3,36.7
2/27/2022 12:19,28.25435933,83.97587233,18.5,8.1,25.3,37.5
