id,dtime,lat,lng,PM10 Concentration,PM2.5 Concentration,temp,hum
1,2/27/2022 12:16,28.25304033,83.9757,23.1,9.2,21.7,45.5
3,2/27/2022 12:16,28.25310767,83.97574183,22.1,9.1,22.1,44.9
5,2/27/2022 12:16,28.253143,83.97576833,22.7,9.1,22.3,44.6
7,2/27/2022 12:16,28.25318183,83.97580017,21.1,9.1,22.3,44.3
9,2/27/2022 12:16,28.253233,83.97581383,20.2,8.8,22.4,44.3
11,2/27/2022 12:16,28.25327217,83.9758225,18.7,9.1,22.9,45.2
13,2/27/2022 12:17,28.25331383,83.97582317,20.3,9.1,23.2,45.1
15,2/27/2022 12:17,28.2533615,83.97582917,27.3,9.8,23.3,44.9
17,2/27/2022 12:17,28.25341017,83.97583767,26.5,9.9,23.6,44.8
19,2/27/2022 12:17,28.2534655,83.975841,38.5,10.5,24,44.3
21,2/27/2022 12:17,28.2535255,83.975854,42.1,10.8,24.2,45.2
23,2/27/2022 12:17,28.25358117,83.9758495,43.2,11,24.5,43.8
25,2/27/2022 12:17,28.25364167,83.97584083,42,10.7,24.5,42.3
27,2/27/2022 12:17,28.2536985,83.97584317,35.4,10.3,24.5,40.9
29,2/27/2022 12:17,28.25375483,83.975851,35.1,10.1,24.4,39.9
31,2/27/2022 12:17,28.25380083,83.97585517,24.8,9.5,24.3,39.9
33,2/27/2022 12:17,28.2538525,83.97586667,20.7,9.2,24.1,41.4
35,2/27/2022 12:17,28.25390233,83.97587933,20.3,8.9,24,42
37,2/27/2022 12:17,28.25394283,83.97588117,20.6,8.8,24.2,41.9
39,2/27/2022 12:18,28.253998,83.975886,21.2,8.7,24.2,41.8
41,2/27/2022 12:18,28.2540155,83.975872,22.2,11,24.2,40.4
43,2/27/2022 12:18,28.25401783,83.97586233,22.1,10.8,24.4,39.5
45,2/27/2022 12:18,28.25401883,83.975861,22.6,10.5,24.5,38
47,2/27/2022 12:18,28.25403083,83.97585233,22.5,10.2,24.4,37.6
